Date,Weekly_Sales,Store,Dept,Temperature,Fuel_Price,CPI,Unemployment
2010-01-01,1024.8357076505617,7,8,89.20946853219775,3.6126560145141586,184.07980155747424,6.641081972183159
2010-01-02,1047.0294561726078,1,15,58.065923373113264,2.558310372044178,227.41942598669726,4.415846638229769
2010-01-03,1090.2687492295838,8,20,83.41758545209157,4.314497888712811,202.621230661808,7.469310287339737
2010-01-04,1087.975426265052,3,14,87.62125814962015,2.8125674190995524,195.1516304271192,7.585794639213402
2010-01-05,1004.0528166242971,6,9,92.22211968025408,2.940177353742773,224.6365300422582,8.433582732096834
2010-01-06,1007.9861119000303,9,8,68.11540383344595,3.536552352895293,196.92094248299588,4.17501935374446
2010-01-07,1102.5809802648564,6,17,44.312262023829824,3.9202295326745586,192.08660147339225,7.247429286602981
2010-01-08,1065.913345437516,9,2,47.87163535527522,2.691458109488795,210.74486841201642,4.317444599623986
2010-01-09,1057.9820351259054,7,3,50.69862718291229,3.1353893950943243,207.01324951892354,8.20686531979992
2010-01-10,1112.4897663121544,9,8,71.56617365667309,4.437349211148714,165.4528006726746,4.334367914205907
2010-01-11,1016.0877441956723,2,12,32.29667368900259,3.0246859335618916,187.7046619659297,9.470367090049796
2010-01-12,1019.858854290136,8,1,74.52297281459778,3.1261002901262938,187.8012354255668,8.21249540130698
2010-01-13,1059.1190135520255,8,10,55.50479668997624,4.172996981236067,180.25796121946757,7.044338590510943
2010-01-14,955.2202903679431,2,20,50.66692617427495,2.6004288633809107,191.38347857218025,6.649023539687049
2010-01-15,968.4886615755383,4,3,91.56475995096885,3.4292263376179415,183.04859181817153,4.784035782479574
2010-01-16,1080.4562825611888,7,6,62.200167690655924,3.2592335289033407,165.94763915769465,5.745996337387979
2010-01-17,1061.7500754901,4,7,36.653713187288496,3.1331735198173023,182.9893189819745,9.213754630125377
2010-01-18,1081.9088532058854,4,20,87.87227376183729,3.0713991880895293,155.78215580585413,9.426716869374964
2010-01-19,1024.5830411551972,6,18,33.33488802055546,2.6827482097208186,196.06286902195293,4.004486250223186
2010-01-20,1003.1387472717083,10,11,80.87244569177376,3.1296516587032976,218.29236391528895,7.564818348865307
2010-01-21,1150.7870183649004,6,19,84.17343552394655,2.5861048054313374,208.0229667483644,8.315803654150681
2010-01-22,1069.9464094109476,10,5,54.68218241502007,4.061927727288871,178.8315232043289,7.712481894745638
2010-01-23,1138.3213188125308,3,19,87.73514993944508,3.2964555879160233,156.96569644618467,4.490078589198124
2010-01-24,1067.3952719380486,9,11,66.09615840995174,3.387807664639823,166.17195193802166,5.306349392793413
2010-01-25,1065.0784616149356,10,12,62.43055572909578,4.287189172900263,193.63922723958686,5.5020416042883165
2010-01-26,1101.4848500079568,2,10,33.17822970280848,3.8161099677224417,166.56456667064262,8.990347787830538
2010-01-27,1042.005439638971,6,8,50.30204355542341,2.5161182066842396,193.5178489027974,6.779196617853523
2010-01-28,1121.9307692653656,7,9,95.17069796197099,4.38634964592257,168.52792198111192,6.9209692716474205
2010-01-29,1076.67811968463,9,4,57.427677429845005,2.9742889319554227,217.91390955808583,9.60935827932705
2010-01-30,1145.662080533494,3,5,68.26903643897379,2.7152283695197177,181.78171782723678,7.822515333128293
2010-01-31,1133.6697794205256,10,8,67.24151752889762,4.036256356761765,169.64405007555928,9.392006209315984
